Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,23.385534611374
Angola,AGO,"Population, female",SP.POP.TOTL.FE.IN,14764575
Angola,AGO,"Population, male",SP.POP.TOTL.MA.IN,14390171
Angola,AGO,"Population, total",SP.POP.TOTL,29154746
Angola,AGO,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1489692592.59259
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,16449.0591470407
Antigua and Barbuda,ATG,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..
Antigua and Barbuda,ATG,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..
Antigua and Barbuda,ATG,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,205.827272727273
Antigua and Barbuda,ATG,"Population, female",SP.POP.TOTL.FE.IN,47388
Antigua and Barbuda,ATG,"Population, male",SP.POP.TOTL.MA.IN,43176
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,90564
Antigua and Barbuda,ATG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,557532320662.955
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,12790.2641396135
Argentina,ARG,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..
Argentina,ARG,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..
Argentina,ARG,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,15.9281350828921
Argentina,ARG,"Population, female",SP.POP.TOTL.FE.IN,22019065
Argentina,ARG,"Population, male",SP.POP.TOTL.MA.IN,21571303
Argentina,ARG,"Population, total",SP.POP.TOTL,43590368
Argentina,ARG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,0.7
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,10546136235.5219
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,3679.95234740376
Armenia,ARM,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,23.6137008666992
Armenia,ARM,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,24.7730293273926
Armenia,ARM,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,24.1347694396973
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,100.661573586231
Armenia,ARM,"Population, female",SP.POP.TOTL.FE.IN,1561467
Armenia,ARM,"Population, male",SP.POP.TOTL.MA.IN,1304368
Armenia,ARM,"Population, total",SP.POP.TOTL,2865835
Armenia,ARM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,1.1
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2983635195.53073
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,28449.7129463044
Aruba,ABW,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..
Aruba,ABW,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..
Aruba,ABW,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,582.633333333333
Aruba,ABW,"Population, female",SP.POP.TOTL.FE.IN,55224
Aruba,ABW,"Population, male",SP.POP.TOTL.MA.IN,49650
Aruba,ABW,"Population, total",SP.POP.TOTL,104874
Aruba,ABW,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1207580901578.72
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,49918.7939327254
Australia,AUS,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,32.1725997924805
Australia,AUS,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,27.8382301330566
Australia,AUS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,30.0298099517822
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,3.14493553058884
Australia,AUS,"Population, female",SP.POP.TOTL.FE.IN,12185645
Australia,AUS,"Population, male",SP.POP.TOTL.MA.IN,12005262
Australia,AUS,"Population, total",SP.POP.TOTL,24190907
Australia,AUS,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,0.5
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,395837353031.499
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,45307.5878620429
Austria,AUT,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,12.9846897125244
Austria,AUT,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,13.9576597213745
Austria,AUT,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,13.4557199478149
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,105.873339796413
Austria,AUT,"Population, female",SP.POP.TOTL.FE.IN,4444108
Austria,AUT,"Population, male",SP.POP.TOTL.MA.IN,4292559
Austria,AUT,"Population, total",SP.POP.TOTL,8736668
Austria,AUT,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,0.7
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,37866996882.9157
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,3880.6852276838
Azerbaijan,AZE,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,12.6286201477051
Azerbaijan,AZE,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,19.1242008209229
Azerbaijan,AZE,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,15.7419004440308
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,118.033288980283
Azerbaijan,AZE,"Population, female",SP.POP.TOTL.FE.IN,4949205
Azerbaijan,AZE,"Population, male",SP.POP.TOTL.MA.IN,4808608
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9757812
Azerbaijan,AZE,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,11750800000
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,29675.5358910641
"Bahamas, The",BHS,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..
"Bahamas, The",BHS,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..
"Bahamas, The",BHS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
"Bahamas, The",BHS,Population density (people per sq. km of land area),EN.POP.DNST,39.558041958042
"Bahamas, The",BHS,"Population, female",SP.POP.TOTL.FE.IN,205736
"Bahamas, The",BHS,"Population, male",SP.POP.TOTL.MA.IN,190240
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,395976
"Bahamas, The",BHS,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,32234973404.2553
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,22867.1811196134
Bahrain,BHR,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,18.2128791809082
Bahrain,BHR,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,12.3306903839111
Bahrain,BHR,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,14.2819995880127
Bahrain,BHR,Population density (people per sq. km of land area),EN.POP.DNST,1809.57766367137
Bahrain,BHR,"Population, female",SP.POP.TOTL.FE.IN,532635
Bahrain,BHR,"Population, male",SP.POP.TOTL.MA.IN,877025
Bahrain,BHR,"Population, total",SP.POP.TOTL,1409661
Bahrain,BHR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,265236390328.627
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,1659.96249605674
Bangladesh,BGD,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,5.45023012161255
Bangladesh,BGD,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,11.5343904495239
Bangladesh,BGD,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,8.50959968566895
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,1227.50686025966
Bangladesh,BGD,"Population, female",SP.POP.TOTL.FE.IN,80325176
Bangladesh,BGD,"Population, male",SP.POP.TOTL.MA.IN,79459393
Bangladesh,BGD,"Population, total",SP.POP.TOTL,159784568
Bangladesh,BGD,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,13.5
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,4843300000
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,17381.3650865426
Barbados,BRB,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..
Barbados,BRB,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..
Barbados,BRB,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Barbados,BRB,Population density (people per sq. km of land area),EN.POP.DNST,648.020930232558
Barbados,BRB,"Population, female",SP.POP.TOTL.FE.IN,145315
Barbados,BRB,"Population, male",SP.POP.TOTL.MA.IN,133334
Barbados,BRB,"Population, total",SP.POP.TOTL,278649
Barbados,BRB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,47723545321.259
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,5039.77560949445
Belarus,BLR,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..
Belarus,BLR,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..
Belarus,BLR,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Belarus,BLR,Population density (people per sq. km of land area),EN.POP.DNST,46.6499448243246
Belarus,BLR,"Population, female",SP.POP.TOTL.FE.IN,5091613
Belarus,BLR,"Population, male",SP.POP.TOTL.MA.IN,4377765
Belarus,BLR,"Population, total",SP.POP.TOTL,9469379
Belarus,BLR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,0
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,476062757356.927
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,42012.6227191016
Belgium,BEL,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,32.8506393432617
Belgium,BEL,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,31.4383296966553
Belgium,BEL,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,32.1669616699219
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,374.221334214003
Belgium,BEL,"Population, female",SP.POP.TOTL.FE.IN,5754446
Belgium,BEL,"Population, male",SP.POP.TOTL.MA.IN,5576976
Belgium,BEL,"Population, total",SP.POP.TOTL,11331422
Belgium,BEL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,0.1
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,2240593542.9757
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,6099.95710191497
Belize,BLZ,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..
Belize,BLZ,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..
Belize,BLZ,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Belize,BLZ,Population density (people per sq. km of land area),EN.POP.DNST,16.1031565103025
Belize,BLZ,"Population, female",SP.POP.TOTL.FE.IN,182514
Belize,BLZ,"Population, male",SP.POP.TOTL.MA.IN,184798
Belize,BLZ,"Population, total",SP.POP.TOTL,367313
Belize,BLZ,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,11821065852.1271
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1049.82030349923
Benin,BEN,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..
Benin,BEN,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..
Benin,BEN,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Benin,BEN,Population density (people per sq. km of land area),EN.POP.DNST,99.8588595246541
Benin,BEN,"Population, female",SP.POP.TOTL.FE.IN,5630820
Benin,BEN,"Population, male",SP.POP.TOTL.MA.IN,5629265
Benin,BEN,"Population, total",SP.POP.TOTL,11260085
Benin,BEN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,6899911000
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,106885.878489327
Bermuda,BMU,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,33.8129806518555
Bermuda,BMU,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,28.1203498840332
Bermuda,BMU,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,31.1083793640137
Bermuda,BMU,Population density (people per sq. km of land area),EN.POP.DNST,1195.44444444444
Bermuda,BMU,"Population, female",SP.POP.TOTL.FE.IN,33186
Bermuda,BMU,"Population, male",SP.POP.TOTL.MA.IN,31368
Bermuda,BMU,"Population, total",SP.POP.TOTL,64554
Bermuda,BMU,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2158971711.31564
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,2879.54656392589
Bhutan,BTN,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..
Bhutan,BTN,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..
Bhutan,BTN,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Bhutan,BTN,Population density (people per sq. km of land area),EN.POP.DNST,19.6560664848993
Bhutan,BTN,"Population, female",SP.POP.TOTL.FE.IN,351127
Bhutan,BTN,"Population, male",SP.POP.TOTL.MA.IN,398635
Bhutan,BTN,"Population, total",SP.POP.TOTL,749761
Bhutan,BTN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,33941126193.9219
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3013.50270721666
Bolivia,BOL,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..
Bolivia,BOL,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..
Bolivia,BOL,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Bolivia,BOL,Population density (people per sq. km of land area),EN.POP.DNST,10.3969491368965
Bolivia,BOL,"Population, female",SP.POP.TOTL.FE.IN,5599297
Bolivia,BOL,"Population, male",SP.POP.TOTL.MA.IN,5663718
Bolivia,BOL,"Population, total",SP.POP.TOTL,11263015
Bolivia,BOL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,5.6
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,17116926327.6247
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,4917.26376596306
Bosnia and Herzegovina,BIH,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,8.07264995574951
Bosnia and Herzegovina,BIH,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,8.71086025238037
Bosnia and Herzegovina,BIH,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,8.37728023529053
Bosnia and Herzegovina,BIH,Population density (people per sq. km of land area),EN.POP.DNST,67.9880078125
Bosnia and Herzegovina,BIH,"Population, female",SP.POP.TOTL.FE.IN,1774917
Bosnia and Herzegovina,BIH,"Population, male",SP.POP.TOTL.MA.IN,1706069
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3480986
Bosnia and Herzegovina,BIH,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,15082636722.902
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,6411.55166556511
Botswana,BWA,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..
Botswana,BWA,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..
Botswana,BWA,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Botswana,BWA,Population density (people per sq. km of land area),EN.POP.DNST,4.1508584334692
Botswana,BWA,"Population, female",SP.POP.TOTL.FE.IN,1193829
Botswana,BWA,"Population, male",SP.POP.TOTL.MA.IN,1158587
Botswana,BWA,"Population, total",SP.POP.TOTL,2352416
Botswana,BWA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1795693482652.52
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,8680.73646873878
Brazil,BRA,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,16.9192790985107
Brazil,BRA,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,13.56130027771
Brazil,BRA,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,15.3451795578003
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,24.7494751224555
Brazil,BRA,"Population, female",SP.POP.TOTL.FE.IN,105065188
Brazil,BRA,"Population, male",SP.POP.TOTL.MA.IN,101794390
Brazil,BRA,"Population, total",SP.POP.TOTL,206859578
Brazil,BRA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,4.7
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,..
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
British Virgin Islands,VGB,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..
British Virgin Islands,VGB,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..
British Virgin Islands,VGB,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
British Virgin Islands,VGB,Population density (people per sq. km of land area),EN.POP.DNST,198.26
British Virgin Islands,VGB,"Population, female",SP.POP.TOTL.FE.IN,15287
British Virgin Islands,VGB,"Population, male",SP.POP.TOTL.MA.IN,14453
