,Laureate_ID,Full_Name,Birth_Date,Sex
42,11,Albert Abraham Michelson,1852-12-19,Male
43,167,Ernest Rutherford,1871-08-30,Male
44,578,Rudolf Christoph Eucken,1846-01-05,Male
45,301,Ilya Ilyich Mechnikov,1845-05-15,Male
46,302,Paul Ehrlich,1854-03-14,Male
47,302,Paul Ehrlich,1854-03-14,Male
48,473,Klas Pontus Arnoldson,1844-10-27,Male
49,474,Fredrik Bajer,1837-04-21,Male
50,12,Gabriel Lippmann,1845-08-16,Male
51,168,Wilhelm Ostwald,1853-09-02,Male
52,579,Selma Ottilia Lovisa Lagerlöf,1858-11-20,Female
53,303,Emil Theodor Kocher,1841-08-25,Male
54,475,Auguste Marie François Beernaert,1829-07-26,Male
55,476,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",1852-11-22,Male
56,13,Guglielmo Marconi,1874-04-25,Male
57,14,Karl Ferdinand Braun,1850-06-06,Male
58,169,Otto Wallach,1847-03-27,Male
59,580,Paul Johann Ludwig Heyse,1830-03-15,Male
60,304,Albrecht Kossel,1853-09-16,Male
61,477,Bureau international permanent de la Paix (Permanent International Peace Bureau),,
62,15,Johannes Diderik van der Waals,1837-11-23,Male
63,6,"Marie Curie, née Sklodowska",1867-11-07,Female
64,581,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,1862-08-29,Male
65,305,Allvar Gullstrand,1862-06-05,Male
66,478,Tobias Michael Carel Asser,1838-04-28,Male
67,479,Alfred Hermann Fried,1864-11-11,Male
68,16,Wilhelm Wien,1864-01-13,Male
69,172,Victor Grignard,1871-05-06,Male
70,173,Paul Sabatier,1854-11-05,Male
71,582,Gerhart Johann Robert Hauptmann,1862-11-15,Male
72,306,Alexis Carrel,1873-06-28,Male
73,480,Elihu Root,1845-02-15,Male
74,17,Nils Gustaf Dalén,1869-11-30,Male
75,174,Alfred Werner,1866-12-12,Male
76,583,Rabindranath Tagore,1861-05-07,Male
77,307,Charles Robert Richet,1850-08-26,Male
78,481,Henri La Fontaine,1854-04-22,Male
79,18,Heike Kamerlingh Onnes,1853-09-21,Male
80,175,Theodore William Richards,1868-01-31,Male
81,308,Robert Bárány,1876-04-22,Male
82,19,Max von Laue,1879-10-09,Male
83,176,Richard Martin Willstätter,1872-08-13,Male
84,584,Romain Rolland,1866-01-29,Male
85,20,Sir William Henry Bragg,1862-07-02,Male
86,21,William Lawrence Bragg,1890-03-31,Male
87,585,Carl Gustaf Verner von Heidenstam,1859-07-06,Male
88,586,Karl Adolph Gjellerup,1857-06-02,Male
89,587,Henrik Pontoppidan,1857-07-24,Male
90,482,Comité international de la Croix Rouge (International Committee of the Red Cross),,
91,22,Charles Glover Barkla,1877-06-07,Male
92,177,Fritz Haber,1868-12-09,Male
93,23,Max Karl Ernst Ludwig Planck,1858-04-23,Male
94,588,Carl Friedrich Georg Spitteler,1845-04-24,Male
95,309,Jules Bordet,1870-06-13,Male
96,483,Thomas Woodrow Wilson,1856-12-28,Male
97,24,Johannes Stark,1874-04-15,Male
98,178,Walther Hermann Nernst,1864-06-25,Male
99,589,Knut Pedersen Hamsun,1859-08-04,Male
100,310,Schack August Steenberg Krogh,1874-11-15,Male
101,484,Léon Victor Auguste Bourgeois,1851-05-21,Male
102,25,Charles Edouard Guillaume,1861-02-15,Male
103,179,Frederick Soddy,1877-09-02,Male
104,590,Anatole France,1844-04-16,Male
105,485,Karl Hjalmar Branting,1860-11-23,Male
106,486,Christian Lous Lange,1869-09-17,Male
107,26,Albert Einstein,1879-03-14,Male
108,180,Francis William Aston,1877-09-01,Male
109,592,Jacinto Benavente,1866-08-12,Male
110,311,Archibald Vivian Hill,1886-09-26,Male
111,312,Otto Fritz Meyerhof,1884-04-12,Male
112,487,Fridtjof Nansen,1861-10-10,Male
113,27,Niels Henrik David Bohr,1885-10-07,Male
114,181,Fritz Pregl,1869-09-03,Male
115,593,William Butler Yeats,1865-06-13,Male
116,313,Frederick Grant Banting,1891-11-14,Male
117,314,John James Rickard Macleod,1876-09-06,Male
118,28,Robert Andrews Millikan,1868-03-22,Male
119,594,Wladyslaw Stanislaw Reymont,1867-05-07,Male
120,315,Willem Einthoven,1860-05-21,Male
121,29,Karl Manne Georg Siegbahn,1886-12-03,Male
122,182,Richard Adolf Zsigmondy,1865-04-01,Male
123,596,George Bernard Shaw,1856-07-26,Male
124,488,Sir Austen Chamberlain,1863-10-16,Male
125,489,Charles Gates Dawes,1865-08-27,Male
126,30,James Franck,1882-08-26,Male
127,31,Gustav Ludwig Hertz,1887-07-22,Male
128,183,The (Theodor) Svedberg,1884-08-30,Male
129,597,Grazia Deledda,1871-09-27,Female
130,316,Johannes Andreas Grib Fibiger,1867-04-23,Male
131,490,Aristide Briand,1862-03-28,Male
132,491,Gustav Stresemann,1878-05-10,Male
133,32,Jean Baptiste Perrin,1870-09-30,Male
134,184,Heinrich Otto Wieland,1877-06-04,Male
135,600,Henri Bergson,1859-10-18,Male
136,317,Julius Wagner-Jauregg,1857-03-07,Male
137,492,Ferdinand Buisson,1841-12-20,Male
138,493,Ludwig Quidde,1858-03-23,Male
139,33,Arthur Holly Compton,1892-09-10,Male
140,34,Charles Thomson Rees Wilson,1869-02-14,Male
141,185,Adolf Otto Reinhold Windaus,1876-12-25,Male
142,601,Sigrid Undset,1882-05-20,Female
143,318,Charles Jules Henri Nicolle,1866-09-21,Male
144,35,Owen Willans Richardson,1879-04-26,Male
145,186,Arthur Harden,1865-10-12,Male
146,187,Hans Karl August Simon von Euler-Chelpin,1873-02-15,Male
147,602,Thomas Mann,1875-06-06,Male
148,319,Christiaan Eijkman,1858-08-11,Male
149,320,Sir Frederick Gowland Hopkins,1861-06-20,Male
150,494,Frank Billings Kellogg,1856-12-22,Male
151,36,Prince Louis-Victor Pierre Raymond de Broglie,1892-08-15,Male
152,188,Hans Fischer,1881-07-27,Male
153,603,Sinclair Lewis,1885-02-07,Male
154,321,Karl Landsteiner,1868-06-14,Male
155,495,Lars Olof Jonathan (Nathan) Söderblom,1866-01-15,Male
156,37,Sir Chandrasekhara Venkata Raman,1888-11-07,Male
157,189,Carl Bosch,1874-08-27,Male
158,189,Carl Bosch,1874-08-27,Male
159,190,Friedrich Bergius,1884-10-11,Male
160,190,Friedrich Bergius,1884-10-11,Male
161,604,Erik Axel Karlfeldt,1864-07-20,Male
162,322,Otto Heinrich Warburg,1883-10-08,Male
163,496,Jane Addams,1860-09-06,Female
164,497,Nicholas Murray Butler,1862-04-02,Male
165,191,Irving Langmuir,1881-01-31,Male
166,605,John Galsworthy,1867-08-14,Male
167,323,Sir Charles Scott Sherrington,1857-11-27,Male
168,324,Edgar Douglas Adrian,1889-11-30,Male
169,38,Werner Karl Heisenberg,1901-12-05,Male
170,606,Ivan Alekseyevich Bunin,1870-10-22,Male
171,325,Thomas Hunt Morgan,1866-09-25,Male
172,498,Sir Norman Angell (Ralph Lane),1872-12-26,Male
173,39,Erwin Schrödinger,1887-08-12,Male
174,40,Paul Adrien Maurice Dirac,1902-08-08,Male
175,192,Harold Clayton Urey,1893-04-29,Male
176,607,Luigi Pirandello,1867-06-28,Male
177,326,George Hoyt Whipple,1878-08-28,Male
178,327,George Richards Minot,1885-12-02,Male
179,328,William Parry Murphy,1892-02-06,Male
180,328,William Parry Murphy,1892-02-06,Male
181,499,Arthur Henderson,1863-09-13,Male
182,193,Frédéric Joliot,1900-03-19,Male
183,194,Irène Joliot-Curie,1897-09-12,Female
184,329,Hans Spemann,1869-06-27,Male
185,500,Carl von Ossietzky,1889-10-03,Male
186,41,James Chadwick,1891-10-20,Male
187,195,Petrus (Peter) Josephus Wilhelmus Debye,1884-03-24,Male
188,195,Petrus (Peter) Josephus Wilhelmus Debye,1884-03-24,Male
189,608,Eugene Gladstone O'Neill,1888-10-16,Male
190,330,Sir Henry Hallett Dale,1875-06-09,Male
191,331,Otto Loewi,1873-06-03,Male
192,501,Carlos Saavedra Lamas,1878-11-01,Male
193,42,Victor Franz Hess,1883-06-24,Male
194,43,Carl David Anderson,1905-09-03,Male
195,196,Walter Norman Haworth,1883-03-19,Male
196,197,Paul Karrer,1889-04-21,Male
197,609,Roger Martin du Gard,1881-03-23,Male
198,332,Albert von Szent-Györgyi Nagyrápolt,1893-09-16,Male
199,502,"Cecil of Chelwood, Viscount (Lord Edgar Algernon Robert Gascoyne Cecil)",1864-09-14,Male
200,44,Clinton Joseph Davisson,1881-10-22,Male
201,45,George Paget Thomson,1892-05-03,Male
202,198,Richard Kuhn,1900-12-03,Male
203,198,Richard Kuhn,1900-12-03,Male
204,610,Pearl Buck,1892-06-26,Female
205,333,Corneille Jean François Heymans,1892-03-28,Male
206,503,Office international Nansen pour les Réfugiés (Nansen International Office for Refugees),,
207,46,Enrico Fermi,1901-09-29,Male
208,199,Adolf Friedrich Johann Butenandt,1903-03-24,Male
209,199,Adolf Friedrich Johann Butenandt,1903-03-24,Male
210,200,Leopold Ruzicka,1887-09-13,Male
211,613,Frans Eemil Sillanpää,1888-09-16,Male
212,334,Gerhard Domagk,1895-10-30,Male
213,47,Ernest Orlando Lawrence,1901-08-08,Male
214,201,George de Hevesy,1885-08-01,Male
215,335,Henrik Carl Peter Dam,1895-02-21,Male
216,336,Edward Adelbert Doisy,1893-11-13,Male
217,48,Otto Stern,1888-02-17,Male
218,202,Otto Hahn,1879-03-08,Male
219,614,Johannes Vilhelm Jensen,1873-01-20,Male
220,337,Joseph Erlanger,1874-01-05,Male
221,338,Herbert Spencer Gasser,1888-07-05,Male
222,482,Comité international de la Croix Rouge (International Committee of the Red Cross),,
223,49,Isidor Isaac Rabi,1898-07-29,Male
224,203,Artturi Ilmari Virtanen,1895-01-15,Male
225,615,Gabriela Mistral,1889-04-07,Female
226,339,Sir Alexander Fleming,1881-08-06,Male
227,340,Ernst Boris Chain,1906-06-19,Male
228,341,Sir Howard Walter Florey,1898-09-24,Male
229,505,Cordell Hull,1871-10-02,Male
230,50,Wolfgang Pauli,1900-04-25,Male
231,204,James Batcheller Sumner,1887-11-19,Male
232,205,John Howard Northrop,1891-07-05,Male
233,206,Wendell Meredith Stanley,1904-08-16,Male
234,617,Hermann Hesse,1877-07-02,Male
235,342,Hermann Joseph Muller,1890-12-21,Male
236,506,Emily Greene Balch,1867-01-08,Female
237,507,John Raleigh Mott,1865-05-25,Male
238,51,Percy Williams Bridgman,1882-04-21,Male
239,207,Sir Robert Robinson,1886-09-13,Male
240,618,André Paul Guillaume Gide,1869-11-22,Male
241,343,Carl Ferdinand Cori,1896-12-05,Male
242,344,"Gerty Theresa Cori, née Radnitz",1896-08-15,Female
243,345,Bernardo Alberto Houssay,1887-04-10,Male
244,508,Friends Service Council (The Quakers),,
245,509,American Friends Service Committee (The Quakers),,
246,52,Sir Edward Victor Appleton,1892-09-06,Male
247,208,Arne Wilhelm Kaurin Tiselius,1902-08-10,Male
248,619,Thomas Stearns Eliot,1888-09-26,Male
249,346,Paul Hermann Müller,1899-01-12,Male
250,53,Patrick Maynard Stuart Blackett,1897-11-18,Male
251,209,William Francis Giauque,1895-05-12,Male
252,620,William Faulkner,1897-09-25,Male
253,347,Walter Rudolf Hess,1881-03-17,Male
254,348,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Male
255,348,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Male
256,510,Lord (John) Boyd Orr of Brechin,1880-09-23,Male
257,54,Hideki Yukawa,1907-01-23,Male
258,54,Hideki Yukawa,1907-01-23,Male
259,210,Otto Paul Hermann Diels,1876-01-23,Male
260,211,Kurt Alder,1902-07-10,Male
261,621,Earl (Bertrand Arthur William) Russell,1872-05-18,Male
262,349,Edward Calvin Kendall,1886-03-08,Male
263,350,Tadeus Reichstein,1897-07-20,Male
264,351,Philip Showalter Hench,1896-02-28,Male
265,511,Ralph Bunche,1904-08-07,Male
266,55,Cecil Frank Powell,1903-12-05,Male
267,212,Edwin Mattison McMillan,1907-09-18,Male
268,213,Glenn Theodore Seaborg,1912-04-19,Male
269,622,Pär Fabian Lagerkvist,1891-05-23,Male
270,352,Max Theiler,1899-01-30,Male
271,512,Léon Jouhaux,1879-07-01,Male
272,56,Sir John Douglas Cockcroft,1897-05-27,Male
273,57,Ernest Thomas Sinton Walton,1903-10-06,Male
274,214,Archer John Porter Martin,1910-03-01,Male
275,215,Richard Laurence Millington Synge,1914-10-28,Male
276,623,François Mauriac,1885-10-11,Male
277,353,Selman Abraham Waksman,1888-07-22,Male
278,513,Albert Schweitzer,1875-01-14,Male
279,58,Felix Bloch,1905-10-23,Male
280,59,Edward Mills Purcell,1912-08-30,Male
281,216,Hermann Staudinger,1881-03-23,Male
282,216,Hermann Staudinger,1881-03-23,Male
283,624,Sir Winston Leonard Spencer Churchill,1874-11-30,Male
284,354,Hans Adolf Krebs,1900-08-25,Male
285,355,Fritz Albert Lipmann,1899-06-12,Male
286,355,Fritz Albert Lipmann,1899-06-12,Male
287,514,George Catlett Marshall,1880-12-31,Male
288,60,Frits Zernike,1888-07-16,Male
289,217,Linus Carl Pauling,1901-02-28,Male
290,625,Ernest Miller Hemingway,1899-07-21,Male
291,356,John Franklin Enders,1897-02-10,Male
292,356,John Franklin Enders,1897-02-10,Male
293,357,Thomas Huckle Weller,1915-06-15,Male
294,358,Frederick Chapman Robbins,1916-08-25,Male
295,515,Office of the United Nations High Commissioner for Refugees (UNHCR),,
296,61,Max Born,1882-12-11,Male
297,62,Walther Bothe,1891-01-08,Male
298,62,Walther Bothe,1891-01-08,Male
299,218,Vincent du Vigneaud,1901-05-18,Male
300,626,Halldór Kiljan Laxness,1902-04-23,Male
301,359,Axel Hugo Theodor Theorell,1903-07-06,Male
302,63,Willis Eugene Lamb,1913-07-12,Male
303,64,Polykarp Kusch,1911-01-26,Male
304,219,Sir Cyril Norman Hinshelwood,1897-05-19,Male
305,220,Nikolay Nikolaevich Semenov,1896-04-03,Male
306,627,Juan Ramón Jiménez,1881-12-24,Male
307,360,André Frédéric Cournand,1895-09-24,Male
308,361,Werner Forssmann,1904-08-29,Male
309,361,Werner Forssmann,1904-08-29,Male
310,362,Dickinson W. Richards,1895-10-30,Male
311,65,William Bradford Shockley,1910-02-13,Male
312,66,John Bardeen,1908-05-23,Male
313,67,Walter Houser Brattain,1902-02-10,Male
314,221,Lord (Alexander R.) Todd,1907-10-02,Male
315,628,Albert Camus,1913-11-07,Male
316,363,Daniel Bovet,1907-03-23,Male
317,516,Lester Bowles Pearson,1897-04-23,Male
318,68,Chen Ning Yang,1922-09-22,Male
319,69,Tsung-Dao (T.D.) Lee,1926-11-24,Male
320,222,Frederick Sanger,1918-08-13,Male
321,629,Boris Leonidovich Pasternak,1890-02-10,Male
322,364,George Wells Beadle,1903-10-22,Male
323,365,Edward Lawrie Tatum,1909-12-14,Male
324,366,Joshua Lederberg,1925-05-23,Male
325,517,Georges Pire,1910-02-10,Male
326,70,Pavel Alekseyevich Cherenkov,1904-07-28,Male
327,71,Igor Yevgenyevich Tamm,1895-07-08,Male
328,71,Igor Yevgenyevich Tamm,1895-07-08,Male
329,721,Il´ja Mikhailovich Frank,1908-10-23,Male
330,721,Il´ja Mikhailovich Frank,1908-10-23,Male
331,223,Jaroslav Heyrovsky,1890-12-20,Male
332,630,Salvatore Quasimodo,1901-08-20,Male
333,367,Severo Ochoa,1905-09-24,Male
334,368,Arthur Kornberg,1918-03-03,Male
335,518,Philip J. Noel-Baker,1889-11-01,Male
336,72,Emilio Gino Segrè,1905-02-01,Male
337,73,Owen Chamberlain,1920-07-10,Male
338,224,Willard Frank Libby,1908-12-17,Male
339,631,Saint-John Perse,1887-05-31,Male
340,369,Sir Frank Macfarlane Burnet,1899-09-03,Male
341,370,Peter Brian Medawar,1915-02-28,Male
342,519,Albert John Lutuli,1898-00-00,Male
343,74,Donald Arthur Glaser,1926-09-21,Male
344,225,Melvin Calvin,1911-04-08,Male
345,633,Ivo Andric,1892-10-10,Male
346,371,Georg von Békésy,1899-06-03,Male
347,520,Dag Hjalmar Agne Carl Hammarskjöld,1905-07-29,Male
348,75,Robert Hofstadter,1915-02-05,Male
349,76,Rudolf Ludwig Mössbauer,1929-01-31,Male
350,76,Rudolf Ludwig Mössbauer,1929-01-31,Male
351,226,Max Ferdinand Perutz,1914-05-19,Male
352,227,John Cowdery Kendrew,1917-03-24,Male
353,634,John Steinbeck,1902-02-27,Male
354,372,Francis Harry Compton Crick,1916-06-08,Male
355,373,James Dewey Watson,1928-04-06,Male
356,374,Maurice Hugh Frederick Wilkins,1916-12-15,Male
357,217,Linus Carl Pauling,1901-02-28,Male
358,77,Lev Davidovich Landau,1908-01-22,Male
359,228,Karl Ziegler,1898-11-26,Male
360,229,Giulio Natta,1903-02-26,Male
361,635,Giorgos Seferis,1900-03-13,Male
362,375,Sir John Carew Eccles,1903-01-27,Male
363,376,Alan Lloyd Hodgkin,1914-02-05,Male
364,377,Andrew Fielding Huxley,1917-11-22,Male
365,482,Comité international de la Croix Rouge (International Committee of the Red Cross),,
366,523,Ligue des Sociétés de la Croix-Rouge (League of Red Cross Societies),,
367,78,Eugene Paul Wigner,1902-11-17,Male
368,79,Maria Goeppert Mayer,1906-06-28,Female
369,80,J. Hans D. Jensen,1907-06-25,Male
370,230,Dorothy Crowfoot Hodgkin,1910-05-12,Female
371,637,Jean-Paul Sartre,1905-06-21,Male
372,378,Konrad Bloch,1912-01-21,Male
373,379,Feodor Lynen,1911-04-06,Male
374,524,Martin Luther King Jr.,1929-01-15,Male
375,81,Charles Hard Townes,1915-07-28,Male
376,82,Nicolay Gennadiyevich Basov,1922-12-14,Male
377,83,Aleksandr Mikhailovich Prokhorov,1916-07-11,Male
378,231,Robert Burns Woodward,1917-04-10,Male
379,638,Mikhail Aleksandrovich Sholokhov,1905-05-24,Male
380,380,François Jacob,1920-06-17,Male
381,381,André Lwoff,1902-05-08,Male
382,382,Jacques Monod,1910-02-09,Male
383,525,United Nations Children's Fund (UNICEF),,
384,84,Sin-Itiro Tomonaga,1906-03-31,Male
385,85,Julian Schwinger,1918-02-12,Male
386,86,Richard P. Feynman,1918-05-11,Male
387,232,Robert S. Mulliken,1896-06-07,Male
388,639,Shmuel Yosef Agnon,1888-07-17,Male
389,640,Nelly Sachs,1891-12-10,Female
390,383,Peyton Rous,1879-10-05,Male
391,384,Charles Brenton Huggins,1901-09-22,Male
392,87,Alfred Kastler,1902-05-03,Male
393,233,Manfred Eigen,1927-05-09,Male
394,234,Ronald George Wreyford Norrish,1897-11-09,Male
395,235,George Porter,1920-12-06,Male
396,641,Miguel Angel Asturias,1899-10-19,Male
397,385,Ragnar Granit,1900-10-30,Male
398,386,Haldan Keffer Hartline,1903-12-22,Male
399,387,George Wald,1906-11-18,Male
400,88,Hans Albrecht Bethe,1906-07-02,Male
401,236,Lars Onsager,1903-11-27,Male
402,642,Yasunari Kawabata,1899-06-11,Male
403,388,Robert W. Holley,1922-01-28,Male
404,389,Har Gobind Khorana,1922-01-09,Male
405,390,Marshall W. Nirenberg,1927-04-10,Male
406,526,René Cassin,1887-10-05,Male
407,89,Luis Walter Alvarez,1911-06-13,Male
408,237,Derek H. R. Barton,1918-09-08,Male
409,238,Odd Hassel,1897-05-17,Male
410,677,Ragnar Frisch,1895-03-03,Male
411,678,Jan Tinbergen,1903-04-12,Male
412,643,Samuel Beckett,1906-04-13,Male
413,391,Max Delbrück,1906-09-04,Male
414,392,Alfred D. Hershey,1908-12-04,Male
415,393,Salvador E. Luria,1912-08-13,Male
416,527,International Labour Organization (I.L.O.),,
417,90,Murray Gell-Mann,1929-09-15,Male
418,239,Luis F. Leloir,1906-09-06,Male
419,679,Paul A. Samuelson,1915-05-15,Male
420,644,Aleksandr Isayevich Solzhenitsyn,1918-12-11,Male
421,394,Sir Bernard Katz,1911-03-26,Male
422,395,Ulf von Euler,1905-02-07,Male
423,396,Julius Axelrod,1912-05-30,Male
424,528,Norman E. Borlaug,1914-03-25,Male
425,91,Hannes Olof Gösta Alfvén,1908-05-30,Male
426,92,Louis Eugène Félix Néel,1904-11-22,Male
427,240,Gerhard Herzberg,1904-12-25,Male
428,680,Simon Kuznets,1901-04-30,Male
429,645,Pablo Neruda,1904-07-12,Male
430,397,"Earl W. Sutherland, Jr.",1915-11-19,Male
431,529,Willy Brandt,1913-12-18,Male
432,93,Dennis Gabor,1900-06-05,Male
433,241,Christian B. Anfinsen,1916-03-26,Male
434,242,Stanford Moore,1913-09-04,Male
435,243,William H. Stein,1911-06-25,Male
436,681,John R. Hicks,1904-04-08,Male
437,682,Kenneth J. Arrow,1921-08-23,Male
438,647,Heinrich Böll,1917-12-21,Male
439,398,Gerald M. Edelman,1929-07-01,Male
440,399,Rodney R. Porter,1917-10-08,Male
441,66,John Bardeen,1908-05-23,Male
442,95,Leon Neil Cooper,1930-02-28,Male
443,96,John Robert Schrieffer,1931-05-31,Male
444,244,Ernst Otto Fischer,1918-11-10,Male
445,245,Geoffrey Wilkinson,1921-07-14,Male
446,683,Wassily Leontief,1906-08-05,Male
447,648,Patrick White,1912-05-28,Male
448,400,Karl von Frisch,1886-11-20,Male
449,401,Konrad Lorenz,1903-11-07,Male
450,402,Nikolaas Tinbergen,1907-04-15,Male
451,530,Henry A. Kissinger,1923-05-27,Male
452,531,Le Duc Tho,1911-10-14,Male
453,97,Leo Esaki,1925-03-12,Male
454,98,Ivar Giaever,1929-04-05,Male
455,99,Brian David Josephson,1940-01-04,Male
456,246,Paul J. Flory,1910-06-19,Male
457,684,Gunnar Myrdal,1898-12-06,Male
458,685,Friedrich August von Hayek,1899-05-08,Male
459,649,Eyvind Johnson,1900-07-29,Male
460,650,Harry Martinson,1904-05-06,Male
461,403,Albert Claude,1898-08-24,Male
462,404,Christian de Duve,1917-10-02,Male
463,404,Christian de Duve,1917-10-02,Male
464,405,George E. Palade,1912-11-19,Male
465,532,Seán MacBride,1904-01-26,Male
466,533,Eisaku Sato,1901-03-27,Male
467,100,Sir Martin Ryle,1918-09-27,Male
468,101,Antony Hewish,1924-05-11,Male
469,247,John Warcup Cornforth,1917-09-07,Male
470,248,Vladimir Prelog,1906-07-23,Male
471,686,Leonid Vitaliyevich Kantorovich,1912-01-19,Male
472,687,Tjalling C. Koopmans,1910-08-28,Male
473,651,Eugenio Montale,1896-10-12,Male
474,406,David Baltimore,1938-03-07,Male
475,407,Renato Dulbecco,1914-02-22,Male
476,408,Howard Martin Temin,1934-12-10,Male
477,534,Andrei Dmitrievich Sakharov,1921-05-21,Male
478,102,Aage Niels Bohr,1922-06-19,Male
479,103,Ben Roy Mottelson,1926-07-09,Male
480,104,Leo James Rainwater,1917-12-09,Male
481,249,William N. Lipscomb,1919-12-09,Male
482,688,Milton Friedman,1912-07-31,Male
483,652,Saul Bellow,1915-06-10,Male
484,409,Baruch S. Blumberg,1925-07-28,Male
485,410,D. Carleton Gajdusek,1923-09-09,Male
486,535,Betty Williams,1943-05-22,Female
487,536,Mairead Corrigan,1944-01-27,Female
488,105,Burton Richter,1931-03-22,Male
489,106,Samuel Chao Chung Ting,1936-01-27,Male
490,250,Ilya Prigogine,1917-01-25,Male
491,250,Ilya Prigogine,1917-01-25,Male
492,689,Bertil Ohlin,1899-04-23,Male
493,690,James E. Meade,1907-06-23,Male
494,653,Vicente Aleixandre,1898-04-26,Male
495,411,Roger Guillemin,1924-01-11,Male
496,412,Andrew V. Schally,1926-11-30,Male
497,413,Rosalyn Yalow,1921-07-19,Female
498,537,Amnesty International,,
499,107,Philip Warren Anderson,1923-12-13,Male
500,108,Sir Nevill Francis Mott,1905-09-30,Male
501,109,John Hasbrouck van Vleck,1899-03-13,Male
502,251,Peter D. Mitchell,1920-09-29,Male
503,691,Herbert A. Simon,1916-06-15,Male
504,654,Isaac Bashevis Singer,1904-07-14,Male
505,414,Werner Arber,1929-06-03,Male
506,415,Daniel Nathans,1928-10-30,Male
507,416,Hamilton O. Smith,1931-08-23,Male
508,538,Mohamed Anwar al-Sadat,1918-12-25,Male
509,539,Menachem Begin,1913-08-16,Male
510,110,Pyotr Leonidovich Kapitsa,1894-07-09,Male
511,111,Arno Allan Penzias,1933-04-26,Male
512,112,Robert Woodrow Wilson,1936-01-10,Male
513,252,Herbert C. Brown,1912-05-22,Male
514,253,Georg Wittig,1897-06-16,Male
515,692,Theodore W. Schultz,1902-04-30,Male
516,693,Sir Arthur Lewis,1915-01-23,Male
517,655,Odysseus Elytis,1911-11-02,Male
518,417,Allan M. Cormack,1924-02-23,Male
519,418,Godfrey N. Hounsfield,1919-08-28,Male
520,540,Mother Teresa,1910-08-26,Female
521,113,Sheldon Lee Glashow,1932-12-05,Male
522,114,Abdus Salam,1926-01-29,Male
523,114,Abdus Salam,1926-01-29,Male
524,115,Steven Weinberg,1933-05-03,Male
525,222,Frederick Sanger,1918-08-13,Male
526,254,Paul Berg,1926-06-30,Male
527,255,Walter Gilbert,1932-03-21,Male
528,694,Lawrence R. Klein,1920-09-14,Male
529,657,Czeslaw Milosz,1911-06-30,Male
530,419,Baruj Benacerraf,1920-10-29,Male
531,420,Jean Dausset,1916-10-19,Male
532,421,George D. Snell,1903-12-19,Male
533,541,Adolfo Pérez Esquivel,1931-11-26,Male
534,116,James Watson Cronin,1931-09-29,Male
535,117,Val Logsdon Fitch,1923-03-10,Male
536,257,Kenichi Fukui,1918-10-04,Male
537,258,Roald Hoffmann,1937-07-18,Male
538,695,James Tobin,1918-03-05,Male
539,658,Elias Canetti,1905-07-25,Male
