,Laureate_ID,Full_Name,Birth_Date,Sex,Organization_Name,Organization_Country,Organization_City,Organization
117,312,Otto Fritz Meyerhof,1884-04-12,Male,Kiel University,Germany,Kiel,1
118,487,Fridtjof Nansen,1861-10-10,Male,,,,0
119,27,Niels Henrik David Bohr,1885-10-07,Male,Copenhagen University,Denmark,Copenhagen,1
120,181,Fritz Pregl,1869-09-03,Male,Graz University,Austria,Graz,1
121,593,William Butler Yeats,1865-06-13,Male,,,,0
122,313,Frederick Grant Banting,1891-11-14,Male,University of Toronto,Canada,Toronto,1
123,314,John James Rickard Macleod,1876-09-06,Male,University of Toronto,Canada,Toronto,1
124,28,Robert Andrews Millikan,1868-03-22,Male,California Institute of Technology (Caltech),United States of America,"Pasadena, CA",1
125,594,Wladyslaw Stanislaw Reymont,1867-05-07,Male,,,,0
126,315,Willem Einthoven,1860-05-21,Male,Leiden University,Netherlands,Leiden,1
127,29,Karl Manne Georg Siegbahn,1886-12-03,Male,Uppsala University,Sweden,Uppsala,1
128,182,Richard Adolf Zsigmondy,1865-04-01,Male,Goettingen University,Germany,Göttingen,1
129,596,George Bernard Shaw,1856-07-26,Male,,,,0
130,488,Sir Austen Chamberlain,1863-10-16,Male,,,,0
131,489,Charles Gates Dawes,1865-08-27,Male,,,,0
132,30,James Franck,1882-08-26,Male,Goettingen University,Germany,Göttingen,1
133,31,Gustav Ludwig Hertz,1887-07-22,Male,Halle University,Germany,Halle,1
134,183,The (Theodor) Svedberg,1884-08-30,Male,Uppsala University,Sweden,Uppsala,1
135,597,Grazia Deledda,1871-09-27,Female,,,,0
136,316,Johannes Andreas Grib Fibiger,1867-04-23,Male,Copenhagen University,Denmark,Copenhagen,1
137,490,Aristide Briand,1862-03-28,Male,,,,0
138,491,Gustav Stresemann,1878-05-10,Male,,,,0
139,32,Jean Baptiste Perrin,1870-09-30,Male,Sorbonne University,France,Paris,1
140,184,Heinrich Otto Wieland,1877-06-04,Male,Munich University,Germany,Munich,1
141,600,Henri Bergson,1859-10-18,Male,,,,0
142,317,Julius Wagner-Jauregg,1857-03-07,Male,Vienna University,Austria,Vienna,1
143,492,Ferdinand Buisson,1841-12-20,Male,,,,0
144,493,Ludwig Quidde,1858-03-23,Male,,,,0
145,33,Arthur Holly Compton,1892-09-10,Male,University of Chicago,United States of America,"Chicago, IL",1
146,34,Charles Thomson Rees Wilson,1869-02-14,Male,University of Cambridge,United Kingdom,Cambridge,1
147,185,Adolf Otto Reinhold Windaus,1876-12-25,Male,Goettingen University,Germany,Göttingen,1
148,601,Sigrid Undset,1882-05-20,Female,,,,0
149,318,Charles Jules Henri Nicolle,1866-09-21,Male,Institut Pasteur,,Tunis,1
150,35,Owen Willans Richardson,1879-04-26,Male,London University,United Kingdom,London,1
151,186,Arthur Harden,1865-10-12,Male,London University,United Kingdom,London,1
152,187,Hans Karl August Simon von Euler-Chelpin,1873-02-15,Male,Stockholm University,Sweden,Stockholm,1
153,602,Thomas Mann,1875-06-06,Male,,,,0
154,319,Christiaan Eijkman,1858-08-11,Male,Utrecht University,Netherlands,Utrecht,1
155,320,Sir Frederick Gowland Hopkins,1861-06-20,Male,University of Cambridge,United Kingdom,Cambridge,1
156,494,Frank Billings Kellogg,1856-12-22,Male,,,,0
157,36,Prince Louis-Victor Pierre Raymond de Broglie,1892-08-15,Male,"Sorbonne University, Institut Henri Poincaré",France,Paris,1
158,188,Hans Fischer,1881-07-27,Male,Technische Hochschule (Institute of Technology),Germany,Munich,1
159,603,Sinclair Lewis,1885-02-07,Male,,,,0
160,321,Karl Landsteiner,1868-06-14,Male,Rockefeller Institute for Medical Research,United States of America,"New York, NY",1
161,495,Lars Olof Jonathan (Nathan) Söderblom,1866-01-15,Male,,,,0
162,37,Sir Chandrasekhara Venkata Raman,1888-11-07,Male,Calcutta University,India,Calcutta,1
163,189,Carl Bosch,1874-08-27,Male,University of Heidelberg,Germany,Heidelberg,1
164,189,Carl Bosch,1874-08-27,Male,I.G. Farbenindustrie A.G.,Germany,Heidelberg,1
165,189,Carl Bosch,1874-08-27,Male,University of Heidelberg,Germany,Heidelberg,1
166,189,Carl Bosch,1874-08-27,Male,I.G. Farbenindustrie A.G.,Germany,Heidelberg,1
167,190,Friedrich Bergius,1884-10-11,Male,University of Heidelberg,Germany,Heidelberg,1
168,190,Friedrich Bergius,1884-10-11,Male,I.G. Farbenindustrie A.G.,Germany,Mannheim-Rheinau,1
169,190,Friedrich Bergius,1884-10-11,Male,University of Heidelberg,Germany,Heidelberg,1
170,190,Friedrich Bergius,1884-10-11,Male,I.G. Farbenindustrie A.G.,Germany,Mannheim-Rheinau,1
171,604,Erik Axel Karlfeldt,1864-07-20,Male,,,,0
172,322,Otto Heinrich Warburg,1883-10-08,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biologie,Germany,Berlin-Dahlem,1
173,496,Jane Addams,1860-09-06,Female,,,,0
174,497,Nicholas Murray Butler,1862-04-02,Male,Columbia University,United States of America,"New York, NY",1
175,191,Irving Langmuir,1881-01-31,Male,General Electric Company,United States of America,"Schenectady, NY",1
176,605,John Galsworthy,1867-08-14,Male,,,,0
177,323,Sir Charles Scott Sherrington,1857-11-27,Male,University of Oxford,United Kingdom,Oxford,1
178,324,Edgar Douglas Adrian,1889-11-30,Male,University of Cambridge,United Kingdom,Cambridge,1
179,38,Werner Karl Heisenberg,1901-12-05,Male,Leipzig University,Germany,Leipzig,1
180,606,Ivan Alekseyevich Bunin,1870-10-22,Male,,,,0
181,325,Thomas Hunt Morgan,1866-09-25,Male,California Institute of Technology (Caltech),United States of America,"Pasadena, CA",1
182,498,Sir Norman Angell (Ralph Lane),1872-12-26,Male,,,,0
183,39,Erwin Schrödinger,1887-08-12,Male,Berlin University,Germany,Berlin,1
184,40,Paul Adrien Maurice Dirac,1902-08-08,Male,University of Cambridge,United Kingdom,Cambridge,1
185,192,Harold Clayton Urey,1893-04-29,Male,Columbia University,United States of America,"New York, NY",1
186,607,Luigi Pirandello,1867-06-28,Male,,,,0
187,326,George Hoyt Whipple,1878-08-28,Male,University of Rochester,United States of America,"Rochester, NY",1
188,327,George Richards Minot,1885-12-02,Male,Harvard University,United States of America,"Cambridge, MA",1
189,328,William Parry Murphy,1892-02-06,Male,Harvard University,United States of America,"Cambridge, MA",1
190,328,William Parry Murphy,1892-02-06,Male,Peter Brent Brigham Hospital,United States of America,"Boston, MA",1
191,328,William Parry Murphy,1892-02-06,Male,Harvard University,United States of America,"Cambridge, MA",1
192,328,William Parry Murphy,1892-02-06,Male,Peter Brent Brigham Hospital,United States of America,"Boston, MA",1
193,499,Arthur Henderson,1863-09-13,Male,,,,0
194,193,Frédéric Joliot,1900-03-19,Male,Institut du Radium,France,Paris,1
195,194,Irène Joliot-Curie,1897-09-12,Female,Institut du Radium,France,Paris,1
196,329,Hans Spemann,1869-06-27,Male,University of Freiburg im Breisgau,Germany,Breisgau,1
197,500,Carl von Ossietzky,1889-10-03,Male,,,,0
198,41,James Chadwick,1891-10-20,Male,Liverpool University,United Kingdom,Liverpool,1
199,195,Petrus (Peter) Josephus Wilhelmus Debye,1884-03-24,Male,Berlin University,Germany,Berlin,1
200,195,Petrus (Peter) Josephus Wilhelmus Debye,1884-03-24,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Germany,Berlin,1
201,195,Petrus (Peter) Josephus Wilhelmus Debye,1884-03-24,Male,Berlin University,Germany,Berlin,1
202,195,Petrus (Peter) Josephus Wilhelmus Debye,1884-03-24,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Germany,Berlin,1
203,608,Eugene Gladstone O'Neill,1888-10-16,Male,,,,0
204,330,Sir Henry Hallett Dale,1875-06-09,Male,National Institute for Medical Research,United Kingdom,London,1
205,331,Otto Loewi,1873-06-03,Male,Graz University,Austria,Graz,1
206,501,Carlos Saavedra Lamas,1878-11-01,Male,,,,0
207,42,Victor Franz Hess,1883-06-24,Male,Innsbruck University,Austria,Innsbruck,1
208,43,Carl David Anderson,1905-09-03,Male,California Institute of Technology (Caltech),United States of America,"Pasadena, CA",1
209,196,Walter Norman Haworth,1883-03-19,Male,Birmingham University,United Kingdom,Birmingham,1
210,197,Paul Karrer,1889-04-21,Male,University of Zurich,Switzerland,Zurich,1
211,609,Roger Martin du Gard,1881-03-23,Male,,,,0
212,332,Albert von Szent-Györgyi Nagyrápolt,1893-09-16,Male,Szeged University,Hungary,Szeged,1
213,502,"Cecil of Chelwood, Viscount (Lord Edgar Algernon Robert Gascoyne Cecil)",1864-09-14,Male,,,,0
214,44,Clinton Joseph Davisson,1881-10-22,Male,Bell Telephone Laboratories,United States of America,"New York, NY",1
215,45,George Paget Thomson,1892-05-03,Male,London University,United Kingdom,London,1
216,198,Richard Kuhn,1900-12-03,Male,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung,Germany,Heidelberg,1
217,198,Richard Kuhn,1900-12-03,Male,University of Heidelberg,Germany,Heidelberg,1
218,198,Richard Kuhn,1900-12-03,Male,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung,Germany,Heidelberg,1
219,198,Richard Kuhn,1900-12-03,Male,University of Heidelberg,Germany,Heidelberg,1
220,610,Pearl Buck,1892-06-26,Female,,,,0
221,333,Corneille Jean François Heymans,1892-03-28,Male,Ghent University,Belgium,Ghent,1
222,503,Office international Nansen pour les Réfugiés (Nansen International Office for Refugees),,,,,,0
223,46,Enrico Fermi,1901-09-29,Male,Rome University,Italy,Rome,1
224,199,Adolf Friedrich Johann Butenandt,1903-03-24,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Germany,Berlin-Dahlem,1
225,199,Adolf Friedrich Johann Butenandt,1903-03-24,Male,Berlin University,Germany,Berlin,1
226,199,Adolf Friedrich Johann Butenandt,1903-03-24,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Germany,Berlin-Dahlem,1
227,199,Adolf Friedrich Johann Butenandt,1903-03-24,Male,Berlin University,Germany,Berlin,1
228,200,Leopold Ruzicka,1887-09-13,Male,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Switzerland,Zurich,1
229,613,Frans Eemil Sillanpää,1888-09-16,Male,,,,0
230,334,Gerhard Domagk,1895-10-30,Male,Munster University,Germany,Munster,1
231,47,Ernest Orlando Lawrence,1901-08-08,Male,University of California,United States of America,"Berkeley, CA",1
232,201,George de Hevesy,1885-08-01,Male,Stockholm University,Sweden,Stockholm,1
233,335,Henrik Carl Peter Dam,1895-02-21,Male,Polytechnic Institute,Denmark,Copenhagen,1
234,336,Edward Adelbert Doisy,1893-11-13,Male,Saint Louis University,United States of America,"St. Louis, MO",1
235,48,Otto Stern,1888-02-17,Male,Carnegie Institute of Technology,United States of America,"Pittsburgh, PA",1
236,202,Otto Hahn,1879-03-08,Male,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Germany,Berlin-Dahlem,1
237,614,Johannes Vilhelm Jensen,1873-01-20,Male,,,,0
238,337,Joseph Erlanger,1874-01-05,Male,Washington University,United States of America,"St. Louis, MO",1
239,338,Herbert Spencer Gasser,1888-07-05,Male,Rockefeller Institute for Medical Research,United States of America,"New York, NY",1
240,482,Comité international de la Croix Rouge (International Committee of the Red Cross),,,,,,0
241,482,Comité international de la Croix Rouge (International Committee of the Red Cross),,,,,,0
242,482,Comité international de la Croix Rouge (International Committee of the Red Cross),,,,,,0
243,49,Isidor Isaac Rabi,1898-07-29,Male,Columbia University,United States of America,"New York, NY",1
244,203,Artturi Ilmari Virtanen,1895-01-15,Male,University of Helsinki,Finland,Helsinki,1
245,615,Gabriela Mistral,1889-04-07,Female,,,,0
246,339,Sir Alexander Fleming,1881-08-06,Male,London University,United Kingdom,London,1
247,340,Ernst Boris Chain,1906-06-19,Male,University of Oxford,United Kingdom,Oxford,1
248,341,Sir Howard Walter Florey,1898-09-24,Male,University of Oxford,United Kingdom,Oxford,1
249,505,Cordell Hull,1871-10-02,Male,,,,0
250,50,Wolfgang Pauli,1900-04-25,Male,Princeton University,United States of America,"Princeton, NJ",1
251,204,James Batcheller Sumner,1887-11-19,Male,Cornell University,United States of America,"Ithaca, NY",1
252,205,John Howard Northrop,1891-07-05,Male,Rockefeller Institute for Medical Research,United States of America,"Princeton, NJ",1
253,206,Wendell Meredith Stanley,1904-08-16,Male,Rockefeller Institute for Medical Research,United States of America,"Princeton, NJ",1
254,617,Hermann Hesse,1877-07-02,Male,,,,0
255,342,Hermann Joseph Muller,1890-12-21,Male,Indiana University,United States of America,"Bloomington, IN",1
256,506,Emily Greene Balch,1867-01-08,Female,,,,0
257,507,John Raleigh Mott,1865-05-25,Male,,,,0
258,51,Percy Williams Bridgman,1882-04-21,Male,Harvard University,United States of America,"Cambridge, MA",1
259,207,Sir Robert Robinson,1886-09-13,Male,University of Oxford,United Kingdom,Oxford,1
260,618,André Paul Guillaume Gide,1869-11-22,Male,,,,0
261,343,Carl Ferdinand Cori,1896-12-05,Male,Washington University,United States of America,"St. Louis, MO",1
262,344,"Gerty Theresa Cori, née Radnitz",1896-08-15,Female,Washington University,United States of America,"St. Louis, MO",1
263,345,Bernardo Alberto Houssay,1887-04-10,Male,Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Argentina,Buenos Aires,1
264,508,Friends Service Council (The Quakers),,,,,,0
265,509,American Friends Service Committee (The Quakers),,,,,,0
266,52,Sir Edward Victor Appleton,1892-09-06,Male,Department of Scientific and Industrial Research,United Kingdom,London,1
267,208,Arne Wilhelm Kaurin Tiselius,1902-08-10,Male,Uppsala University,Sweden,Uppsala,1
268,619,Thomas Stearns Eliot,1888-09-26,Male,,,,0
269,346,Paul Hermann Müller,1899-01-12,Male,Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.),Switzerland,Basel,1
270,53,Patrick Maynard Stuart Blackett,1897-11-18,Male,Victoria University,United Kingdom,Manchester,1
271,209,William Francis Giauque,1895-05-12,Male,University of California,United States of America,"Berkeley, CA",1
272,620,William Faulkner,1897-09-25,Male,,,,0
273,347,Walter Rudolf Hess,1881-03-17,Male,University of Zurich,Switzerland,Zurich,1
274,348,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Male,University of Lisbon,Portugal,Lisbon,1
275,348,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Male,Neurological Institute,Portugal,Lisbon,1
276,348,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Male,University of Lisbon,Portugal,Lisbon,1
277,348,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Male,Neurological Institute,Portugal,Lisbon,1
278,510,Lord (John) Boyd Orr of Brechin,1880-09-23,Male,,,,0
279,54,Hideki Yukawa,1907-01-23,Male,Kyoto Imperial University,Japan,Kyoto,1
280,54,Hideki Yukawa,1907-01-23,Male,Columbia University,United States of America,"New York, NY",1
281,54,Hideki Yukawa,1907-01-23,Male,Kyoto Imperial University,Japan,Kyoto,1
282,54,Hideki Yukawa,1907-01-23,Male,Columbia University,United States of America,"New York, NY",1
283,210,Otto Paul Hermann Diels,1876-01-23,Male,Kiel University,Federal Republic of Germany,Kiel,1
284,211,Kurt Alder,1902-07-10,Male,Cologne University,Federal Republic of Germany,Cologne,1
285,621,Earl (Bertrand Arthur William) Russell,1872-05-18,Male,,,,0
286,349,Edward Calvin Kendall,1886-03-08,Male,Mayo Clinic,United States of America,"Rochester, MN",1
287,350,Tadeus Reichstein,1897-07-20,Male,Basel University,Switzerland,Basel,1
288,351,Philip Showalter Hench,1896-02-28,Male,Mayo Clinic,United States of America,"Rochester, MN",1
289,511,Ralph Bunche,1904-08-07,Male,Harvard University,United States of America,"Cambridge, MA",1
290,55,Cecil Frank Powell,1903-12-05,Male,Bristol University,United Kingdom,Bristol,1
291,212,Edwin Mattison McMillan,1907-09-18,Male,University of California,United States of America,"Berkeley, CA",1
292,213,Glenn Theodore Seaborg,1912-04-19,Male,University of California,United States of America,"Berkeley, CA",1
293,622,Pär Fabian Lagerkvist,1891-05-23,Male,,,,0
294,352,Max Theiler,1899-01-30,Male,"Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation",United States of America,"New York, NY",1
295,512,Léon Jouhaux,1879-07-01,Male,,,,0
296,56,Sir John Douglas Cockcroft,1897-05-27,Male,Atomic Energy Research Establishment,United Kingdom,"Harwell, Berkshire",1
297,57,Ernest Thomas Sinton Walton,1903-10-06,Male,Trinity College,Ireland,Dublin,1
298,214,Archer John Porter Martin,1910-03-01,Male,National Institute for Medical Research,United Kingdom,London,1
299,215,Richard Laurence Millington Synge,1914-10-28,Male,Rowett Research Institute,United Kingdom,Bucksburn (Scotland),1
300,623,François Mauriac,1885-10-11,Male,,,,0
301,353,Selman Abraham Waksman,1888-07-22,Male,Rutgers University,United States of America,"New Brunswick, NJ",1
302,513,Albert Schweitzer,1875-01-14,Male,,,,0
303,58,Felix Bloch,1905-10-23,Male,Stanford University,United States of America,"Stanford, CA",1
304,59,Edward Mills Purcell,1912-08-30,Male,Harvard University,United States of America,"Cambridge, MA",1
305,216,Hermann Staudinger,1881-03-23,Male,University of Freiburg,Federal Republic of Germany,Breisgau,1
306,216,Hermann Staudinger,1881-03-23,Male,"Staatliches Institut für makromolekulare Chemie (State Research Institute for Macromolecular Chemistry), Freiburg",Federal Republic of Germany,Breisgau,1
307,216,Hermann Staudinger,1881-03-23,Male,University of Freiburg,Federal Republic of Germany,Breisgau,1
308,216,Hermann Staudinger,1881-03-23,Male,"Staatliches Institut für makromolekulare Chemie (State Research Institute for Macromolecular Chemistry), Freiburg",Federal Republic of Germany,Breisgau,1
309,624,Sir Winston Leonard Spencer Churchill,1874-11-30,Male,,,,0
